depot,Malanville,Kandi,Bembéréké,Nikki,Djougou,Savalou,Bohicon,Lokossa,Ouidah,Comè
Cotonou,31041.0,26659.0,21456.0,20317.5,18905.0,9066.0,4944.5,4152.0,1853.0,3054.0
Parakou,14656.0,10124.5,4894.5,4625.0,5612.5,8610.5,12367.0,15848.5,16877.0,16860.0
Abomey,27146.0,22571.5,17278.0,16725.5,14008.0,4171.0,460.0,3393.5,4665.5,4402.5
Porto-Novo,30140.5,25831.5,20682.0,19377.5,18490.0,8781.5,4919.0,5095.0,3123.0,4245.0
Natitingou,13904.0,9607.5,7043.0,10258.5,3848.0,13632.5,17821.0,20560.5,22387.5,21937.5
