depot,Malanville,Kandi,Bembéréké,Nikki,Djougou,Savalou,Bohicon,Lokossa,Ouidah,Comè
Cotonou,620.82,533.18,429.12,406.35,378.1,181.32,98.89,83.04,37.06,61.08
Parakou,293.12,202.49,97.89,92.5,112.25,172.21,247.34,316.97,337.54,337.2
Abomey,542.92,451.43,345.56,334.51,280.16,83.42,9.2,67.87,93.31,88.05
Porto-Novo,602.81,516.63,413.64,387.55,369.8,175.63,98.38,101.9,62.46,84.9
Natitingou,278.08,192.15,140.86,205.17,76.96,272.65,356.42,411.21,447.75,438.75
